"flag","gender","education","house_val","age","online","customer_psy","marriage","child","occupation","mortgage","house_owner","region","fam_income"
"N","F","2. Some College",0,"2_<=25","Y","G","Single","Y","Sales/Service","1Low","","West","A"
"N","F","4. Grad",248520,"7_>65","Y","D","Married","N","Professional","1Low","Owner","Northeast","E"
"N","F","0. <HS",0,"4_<=45","N","G","Single","Y","Sales/Service","1Low","Renter","South","A"
"N","F","1. HS",0,"1_Unk","Y","I","Single","U","Sales/Service","1Low","Owner","West","A"
"N","M","0. <HS",121753,"1_Unk","N","G","","Y","Sales/Service","1Low","Renter","Northeast","A"
"N","U","4. Grad",735750,"1_Unk","N","B","Married","U","Professional","3High","Owner","Midwest","J"
"N","F","1. HS",36029,"5_<=55","Y","I","","Y","Sales/Service","1Low","Owner","South","B"
"Y","M","4. Grad",0,"3_<=35","Y","F","Single","U","Blue Collar","1Low","Renter","Northeast","D"
"Y","M","3. Bach",296741,"6_<=65","Y","C","Married","Y","Professional","3High","Owner","Northeast","H"
"Y","M","3. Bach",1383733,"6_<=65","Y","B","","U","Professional","1Low","Owner","South","K"
"Y","M","3. Bach",395125,"5_<=55","Y","C","Married","Y","Sales/Service","3High","Owner","South","J"
"N","F","",0,"4_<=45","Y","I","Married","U","Blue Collar","1Low","Owner","South","D"
"N","F","2. Some College",0,"2_<=25","N","G","","U","Sales/Service","1Low","Renter","South","A"
"N","F","1. HS",173462,"5_<=55","Y","E","Married","U","Blue Collar","1Low","Owner","Midwest","E"
"N","F","1. HS",286353,"5_<=55","N","C","","N","Sales/Service","2Med","Owner","Northeast","K"
"N","M","3. Bach",198652,"1_Unk","N","E","","U","Professional","1Low","Owner","South","E"
"Y","F","4. Grad",123377,"6_<=65","Y","F","Single","N","Professional","1Low","Owner","South","A"
"N","F","1. HS",87200,"7_>65","N","F","","N","Retired","1Low","Owner","Midwest","C"
"N","F","2. Some College",113632,"6_<=65","Y","F","","N","Professional","1Low","Owner","Midwest","E"
"N","M","3. Bach",143945,"5_<=55","Y","F","Married","N","Professional","1Low","Owner","Midwest","F"
"Y","F","3. Bach",205781,"4_<=45","Y","C","Married","Y","Sales/Service","1Low","Owner","South","G"
"N","F","2. Some College",333703,"1_Unk","Y","E","Married","U","Sales/Service","1Low","Owner","Northeast","H"
"Y","M","3. Bach",0,"4_<=45","Y","C","Married","Y","Professional","1Low","Owner","Midwest","E"
"Y","M","1. HS",174814,"4_<=45","Y","F","Married","U","Sales/Service","1Low","","South","E"
"Y","M","3. Bach",816682,"1_Unk","Y","C","Married","Y","Sales/Service","1Low","Owner","South","F"
"N","F","3. Bach",0,"6_<=65","Y","H","","N","Retired","1Low","Renter","South","C"
"N","F","1. HS",117027,"3_<=35","Y","G","","Y","Sales/Service","1Low","Owner","South","G"
"N","U","0. <HS",97440,"1_Unk","N","G","","U","Sales/Service","1Low","Renter","South","A"
"Y","M","",976912,"1_Unk","Y","B","","U","Others","2Med","Owner","Midwest","L"
"Y","M","4. Grad",221836,"6_<=65","Y","I","Single","N","Professional","2Med","Owner","Midwest","F"
"N","F","2. Some College",654177,"4_<=45","N","E","Single","Y","Sales/Service","1Low","Renter","West","D"
"N","F","2. Some College",308906,"4_<=45","Y","D","","N","Sales/Service","1Low","Owner","West","B"
"N","U","0. <HS",0,"1_Unk","Y","F","Single","U","Sales/Service","1Low","","South","D"
"N","M","2. Some College",167533,"7_>65","Y","D","Married","N","Retired","1Low","Owner","Northeast","G"
"Y","M","2. Some College",425590,"3_<=35","N","C","","Y","Sales/Service","1Low","Owner","West","F"
"Y","F","2. Some College",199800,"2_<=25","Y","B","","N","Sales/Service","1Low","Owner","Northeast","E"
"N","M","0. <HS",76590,"3_<=35","N","E","","Y","Professional","1Low","Owner","Midwest","E"
"N","M","0. <HS",124488,"6_<=65","N","G","","N","Others","1Low","","Midwest","B"
"N","U","2. Some College",144724,"1_Unk","Y","C","","Y","Sales/Service","1Low","Renter","South","K"
"N","F","1. HS",0,"3_<=35","N","G","Married","U","Sales/Service","1Low","Renter","South","C"
"N","M","2. Some College",131781,"1_Unk","N","G","Single","Y","Blue Collar","1Low","","Midwest","D"
"N","F","2. Some College",528006,"2_<=25","Y","C","","U","Professional","1Low","Owner","West","G"
"N","F","2. Some College",228464,"1_Unk","Y","F","Married","Y","Sales/Service","2Med","Owner","West","B"
"N","F","1. HS",0,"5_<=55","Y","G","","Y","Professional","1Low","","South","B"
"N","F","1. HS",0,"6_<=65","Y","G","Married","Y","Sales/Service","1Low","Owner","Northeast","B"
"N","F","2. Some College",476766,"7_>65","N","E","","N","Retired","1Low","","West","F"
"N","F","4. Grad",0,"4_<=45","Y","J","Married","Y","Professional","1Low","Owner","South","E"
"Y","F","3. Bach",441995,"4_<=45","N","B","Married","Y","Professional","1Low","Owner","South","E"
"N","F","2. Some College",0,"4_<=45","Y","D","","N","Professional","1Low","Renter","Northeast","B"
"Y","M","1. HS",580076,"1_Unk","N","G","Single","N","Sales/Service","1Low","","West","E"
"Y","M","3. Bach",398720,"5_<=55","Y","C","Married","U","Sales/Service","1Low","Owner","South","G"
"Y","M","2. Some College",130980,"1_Unk","N","C","Married","U","Sales/Service","1Low","Owner","South","E"
"N","M","1. HS",0,"5_<=55","Y","E","Married","Y","Blue Collar","1Low","Renter","Midwest","E"
"Y","M","4. Grad",1117250,"6_<=65","N","B","Married","N","Professional","3High","Owner","West","I"
"Y","M","",48160,"1_Unk","Y","F","","Y","Others","1Low","Owner","South","D"
"N","F","3. Bach",184454,"7_>65","Y","I","","N","Retired","1Low","Owner","Midwest","D"
"Y","M","1. HS",298343,"1_Unk","Y","C","Married","Y","Others","1Low","","West","D"
"Y","M","4. Grad",506850,"3_<=35","N","C","Married","Y","Professional","3High","Owner","Midwest","L"
"N","M","2. Some College",379472,"5_<=55","N","J","Married","Y","Professional","2Med","Owner","West","E"
"N","F","1. HS",119038,"3_<=35","N","I","Married","Y","Sales/Service","1Low","Renter","South","E"
"N","F","1. HS",0,"2_<=25","N","G","","U","Sales/Service","1Low","Renter","West","A"
"N","F","2. Some College",242006,"5_<=55","Y","E","Married","U","Professional","1Low","Renter","South","G"
"Y","F","4. Grad",124260,"3_<=35","N","E","Married","Y","Professional","1Low","Owner","Midwest","K"
"Y","F","3. Bach",90860,"3_<=35","Y","E","Married","Y","Professional","1Low","Renter","Midwest","E"
"N","M","",530917,"5_<=55","N","I","Married","U","Sales/Service","1Low","Owner","Midwest","G"
"Y","M","4. Grad",286288,"4_<=45","Y","E","Married","Y","Professional","1Low","Owner","West","F"
"N","F","1. HS",629998,"7_>65","Y","I","Married","N","Retired","1Low","Owner","Midwest","C"
"N","U","4. Grad",194238,"1_Unk","N","I","","N","Sales/Service","1Low","Owner","South","E"
"N","F","",206010,"3_<=35","Y","B","Married","N","Sales/Service","1Low","Owner","Midwest","A"
"N","M","2. Some College",484952,"2_<=25","N","B","","U","Sales/Service","3High","Owner","South","I"
"Y","M","2. Some College",309451,"6_<=65","Y","I","Married","Y","Sales/Service","3High","Owner","Northeast","F"
"Y","F","3. Bach",185131,"3_<=35","Y","C","Married","Y","Blue Collar","1Low","Owner","South","E"
"N","F","2. Some College",345344,"5_<=55","Y","B","Married","Y","Professional","1Low","Owner","South","G"
"N","F","1. HS",442400,"6_<=65","Y","D","","N","Retired","1Low","Owner","South","H"
"Y","M","3. Bach",594819,"6_<=65","Y","C","Married","U","Professional","1Low","","Northeast","J"
"Y","U","2. Some College",1040405,"1_Unk","N","C","Married","Y","Professional","1Low","Owner","West","J"
"N","M","1. HS",0,"7_>65","Y","A","","N","Sales/Service","1Low","Renter","Northeast","E"
"Y","M","3. Bach",356397,"6_<=65","Y","B","Married","N","Professional","2Med","Owner","South","J"
"Y","F","2. Some College",315105,"2_<=25","Y","E","Married","N","Professional","3High","Owner","South","F"
"Y","F","2. Some College",297851,"5_<=55","Y","C","","U","Sales/Service","3High","Owner","Rest","E"
"Y","M","1. HS",282004,"5_<=55","Y","C","Married","U","Retired","1Low","Owner","Midwest","F"
"N","M","2. Some College",0,"4_<=45","Y","G","Single","Y","Professional","1Low","Renter","Midwest","C"
"Y","F","3. Bach",0,"3_<=35","Y","G","Single","U","Professional","1Low","","South","E"
"Y","F","3. Bach",168512,"3_<=35","N","C","Married","Y","Sales/Service","1Low","Owner","South","E"
"Y","M","0. <HS",503253,"5_<=55","Y","E","Married","Y","Blue Collar","3High","Owner","Northeast","F"
"N","M","2. Some College",660965,"1_Unk","N","G","Married","Y","Others","1Low","Renter","Northeast","G"
"Y","M","3. Bach",887216,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","I"
"N","M","0. <HS",0,"6_<=65","N","H","","N","Sales/Service","1Low","","Northeast","D"
"Y","M","1. HS",221902,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Northeast","E"
"N","F","2. Some College",0,"5_<=55","Y","E","Married","Y","Blue Collar","1Low","Renter","Midwest","C"
"Y","M","2. Some College",197056,"4_<=45","N","E","Married","Y","Sales/Service","1Low","Renter","West","E"
"Y","M","3. Bach",145515,"4_<=45","Y","E","Married","Y","Professional","1Low","Owner","West","H"
"N","F","2. Some College",311304,"2_<=25","N","G","","Y","Sales/Service","1Low","Renter","West","E"
"Y","M","2. Some College",89925,"5_<=55","Y","F","","Y","Blue Collar","1Low","Owner","West","D"
"Y","F","3. Bach",255387,"7_>65","Y","I","Married","N","Professional","1Low","Owner","South","F"
"Y","F","4. Grad",1011672,"5_<=55","Y","B","","Y","Professional","3High","Owner","South","E"
"N","M","4. Grad",476733,"7_>65","Y","B","Married","N","Professional","1Low","Owner","Midwest","I"
"Y","M","",533664,"1_Unk","N","B","Married","U","Professional","3High","Owner","West","H"
"Y","M","3. Bach",0,"3_<=35","Y","G","Married","U","Professional","1Low","Renter","West","A"
"N","F","4. Grad",103593,"5_<=55","N","F","Single","U","Sales/Service","1Low","Owner","Midwest","E"
"Y","M","1. HS",348660,"6_<=65","N","C","Married","N","Professional","3High","Owner","South","H"
"N","F","1. HS",0,"5_<=55","Y","J","Married","U","Blue Collar","1Low","Owner","South","D"
"Y","M","2. Some College",326237,"6_<=65","Y","E","","N","Others","1Low","Owner","South","E"
"Y","M","3. Bach",0,"4_<=45","N","E","Married","Y","Others","1Low","Renter","South","F"
"N","M","1. HS",102514,"7_>65","Y","J","","N","Retired","1Low","Owner","South","E"
"Y","M","4. Grad",238012,"3_<=35","Y","C","Married","Y","Professional","2Med","Owner","Midwest","F"
"Y","F","4. Grad",333801,"6_<=65","Y","B","Single","N","Professional","1Low","Owner","South","H"
"N","U","3. Bach",282920,"1_Unk","N","G","Single","U","Professional","1Low","Renter","Midwest","K"
"N","M","0. <HS",0,"1_Unk","N","A","Single","Y","Blue Collar","1Low","","South","D"
"Y","F","4. Grad",555464,"3_<=35","Y","B","Married","U","Professional","3High","Owner","West","I"
"N","M","1. HS",59644,"3_<=35","N","D","","Y","Blue Collar","1Low","Owner","South","A"
"Y","M","4. Grad",1856444,"5_<=55","Y","C","Married","U","Professional","1Low","Owner","West","K"
"N","F","1. HS",260640,"1_Unk","Y","B","","N","Others","2Med","Owner","West","D"
"N","M","0. <HS",205683,"3_<=35","N","J","Married","U","Sales/Service","2Med","Owner","South","D"
"N","M","2. Some College",0,"1_Unk","Y","E","Married","U","Professional","1Low","Renter","Midwest","C"
"N","M","0. <HS",363460,"7_>65","Y","B","","N","Sales/Service","1Low","Owner","South","D"
"Y","M","4. Grad",455729,"4_<=45","Y","C","Married","Y","Professional","1Low","Owner","South","J"
"N","M","2. Some College",0,"1_Unk","N","A","Married","U","Professional","1Low","Renter","South","E"
"Y","M","3. Bach",898814,"4_<=45","Y","C","Married","Y","Professional","3High","Owner","West","F"
"Y","M","3. Bach",89560,"4_<=45","Y","A","Single","U","Sales/Service","1Low","Owner","Midwest","A"
"N","F","2. Some College",243603,"3_<=35","Y","D","","N","Sales/Service","1Low","Owner","South","G"
"N","U","2. Some College",239560,"1_Unk","N","A","","U","Professional","2Med","Owner","West","E"
"Y","M","1. HS",222212,"1_Unk","Y","E","Married","Y","Others","2Med","Owner","Northeast","G"
"N","M","1. HS",131563,"4_<=45","Y","E","Married","U","Blue Collar","1Low","Owner","Midwest","E"
"N","F","2. Some College",173340,"7_>65","Y","D","Married","N","Sales/Service","1Low","Owner","South","E"
"Y","F","1. HS",129372,"2_<=25","Y","E","Married","Y","Sales/Service","1Low","Owner","Northeast","F"
"N","M","1. HS",0,"5_<=55","N","U","Married","0","Professional","1Low","","Midwest","U"
"N","M","2. Some College",154453,"1_Unk","Y","F","","U","Professional","1Low","Owner","West","F"
"N","M","2. Some College",0,"3_<=35","N","G","Single","U","Sales/Service","1Low","Owner","West","B"
"Y","M","3. Bach",185300,"4_<=45","Y","C","Married","Y","Blue Collar","2Med","Owner","Midwest","G"
"Y","M","2. Some College",1096867,"6_<=65","Y","B","Married","N","Professional","2Med","Owner","Northeast","H"
"N","U","0. <HS",502141,"7_>65","Y","B","","N","Retired","1Low","Owner","South","J"
"Y","F","4. Grad",223450,"6_<=65","Y","B","Married","Y","Professional","1Low","Owner","Midwest","G"
"N","M","2. Some College",0,"1_Unk","N","F","Married","Y","Blue Collar","1Low","","South","C"
"N","M","2. Some College",261600,"4_<=45","N","A","Married","U","Professional","1Low","Renter","South","E"
"N","F","1. HS",144664,"5_<=55","Y","E","Single","N","Professional","1Low","Owner","Midwest","H"
"Y","M","3. Bach",561840,"6_<=65","Y","B","Married","N","Professional","1Low","Owner","Northeast","F"
"Y","F","3. Bach",335403,"1_Unk","Y","C","Married","Y","Sales/Service","1Low","","West","K"
"N","F","3. Bach",412020,"7_>65","Y","D","Married","N","Retired","1Low","Owner","West","C"
"Y","M","4. Grad",558494,"6_<=65","Y","B","Married","Y","Professional","1Low","Owner","South","L"
"Y","F","3. Bach",151467,"3_<=35","Y","C","Married","Y","Sales/Service","1Low","Owner","South","E"
"Y","M","2. Some College",1256225,"1_Unk","Y","B","Married","N","Sales/Service","3High","Owner","West","L"
"Y","M","2. Some College",174400,"2_<=25","Y","B","","Y","Sales/Service","1Low","Owner","Midwest","F"
"N","F","0. <HS",0,"3_<=35","N","E","Single","Y","Sales/Service","1Low","Renter","West","A"
"N","F","0. <HS",0,"1_Unk","N","G","Single","U","Sales/Service","1Low","Renter","West","C"
"Y","F","1. HS",106275,"5_<=55","Y","F","Married","N","Blue Collar","1Low","Owner","Northeast","F"
"Y","M","3. Bach",0,"6_<=65","N","E","Single","Y","Professional","1Low","Renter","Midwest","D"
"Y","F","3. Bach",428697,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","West","J"
"Y","M","3. Bach",500397,"6_<=65","Y","B","Married","N","Professional","3High","Owner","South","H"
"N","F","1. HS",67667,"1_Unk","N","E","Married","Y","Sales/Service","1Low","Renter","Midwest","B"
"N","M","1. HS",33190,"2_<=25","Y","F","Married","N","Others","1Low","Owner","South","G"
"N","M","0. <HS",0,"1_Unk","N","G","Single","Y","Sales/Service","1Low","Renter","South","F"
"N","F","2. Some College",45344,"7_>65","Y","I","Married","N","Sales/Service","1Low","Owner","South","A"
"N","F","0. <HS",169059,"1_Unk","Y","F","","Y","Sales/Service","2Med","Owner","Northeast","F"
"Y","M","4. Grad",185300,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","Midwest","I"
"Y","M","1. HS",374960,"5_<=55","N","E","Married","Y","Sales/Service","2Med","Owner","Northeast","E"
"N","M","2. Some College",119880,"2_<=25","Y","I","","N","Farm","1Low","Owner","Midwest","G"
"Y","M","4. Grad",220049,"3_<=35","Y","A","Single","N","Sales/Service","2Med","Owner","Northeast","A"
"Y","M","2. Some College",323435,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","South","F"
"N","M","2. Some College",0,"4_<=45","Y","A","Single","Y","Blue Collar","1Low","Renter","West","F"
"N","F","2. Some College",172209,"6_<=65","N","D","Married","N","Professional","1Low","Owner","South","E"
"N","M","3. Bach",167097,"3_<=35","N","B","","N","Blue Collar","1Low","Owner","Northeast","F"
"Y","M","4. Grad",273720,"3_<=35","Y","B","","U","Professional","1Low","Owner","Northeast","F"
"N","M","0. <HS",798061,"6_<=65","Y","C","Married","Y","Retired","1Low","Renter","West","L"
"N","U","2. Some College",271846,"1_Unk","Y","D","","N","Sales/Service","1Low","Owner","South","H"
"Y","M","3. Bach",438016,"5_<=55","Y","B","Married","U","Professional","1Low","Owner","Northeast","J"
"N","M","2. Some College",158366,"4_<=45","N","E","Married","Y","Blue Collar","1Low","Owner","Midwest","C"
"Y","F","1. HS",40439,"6_<=65","Y","B","Married","Y","Sales/Service","1Low","Owner","Midwest","E"
"Y","F","1. HS",384552,"5_<=55","Y","C","","U","Professional","1Low","Owner","South","G"
"Y","M","3. Bach",142080,"4_<=45","Y","D","","N","Professional","1Low","Owner","Midwest","G"
"N","M","4. Grad",354032,"5_<=55","Y","D","Married","N","Blue Collar","2Med","Owner","South","C"
"N","F","3. Bach",153802,"3_<=35","N","C","Married","Y","Professional","1Low","Renter","South","E"
"N","F","1. HS",0,"2_<=25","N","G","","U","Sales/Service","1Low","Renter","West","D"
"N","F","2. Some College",261491,"5_<=55","N","H","","Y","Sales/Service","1Low","Owner","West","E"
"Y","F","1. HS",0,"5_<=55","Y","F","Single","Y","Sales/Service","1Low","Owner","South","C"
"N","M","0. <HS",549360,"5_<=55","N","F","Married","Y","Blue Collar","3High","Owner","West","D"
"Y","M","4. Grad",512300,"3_<=35","Y","C","","Y","Professional","3High","Owner","West","F"
"N","M","2. Some College",166116,"3_<=35","Y","C","Married","Y","Sales/Service","1Low","Renter","Midwest","E"
"N","F","3. Bach",298551,"6_<=65","Y","I","Married","Y","Professional","3High","Owner","South","A"
"N","F","4. Grad",776265,"4_<=45","Y","C","Married","Y","Professional","1Low","Renter","Northeast","J"
"N","M","0. <HS",170040,"4_<=45","N","G","Single","Y","Blue Collar","2Med","Owner","West","B"
"Y","M","1. HS",276347,"3_<=35","Y","F","Single","Y","Blue Collar","1Low","Owner","South","E"
"Y","M","2. Some College",1019389,"4_<=45","Y","C","","Y","Professional","1Low","Owner","South","H"
"Y","M","2. Some College",575356,"2_<=25","N","C","","Y","Professional","2Med","Owner","West","G"
"Y","M","4. Grad",282582,"1_Unk","Y","B","","U","Sales/Service","1Low","Owner","Midwest","G"
"Y","F","1. HS",113076,"1_Unk","Y","F","","N","Others","1Low","Owner","Midwest","E"
"N","F","1. HS",258918,"7_>65","Y","E","","N","Retired","1Low","Owner","South","E"
"N","M","3. Bach",91233,"4_<=45","Y","J","Married","Y","Blue Collar","1Low","Owner","Midwest","D"
"Y","M","",0,"1_Unk","Y","E","Single","Y","Professional","1Low","Renter","Northeast","G"
"Y","F","3. Bach",306944,"6_<=65","Y","B","","N","Professional","2Med","Owner","South","F"
"Y","M","4. Grad",350020,"3_<=35","N","E","Married","Y","Blue Collar","3High","Owner","Northeast","E"
"N","F","2. Some College",0,"3_<=35","Y","G","","N","Sales/Service","1Low","Renter","West","A"
"N","F","2. Some College",438915,"7_>65","N","D","Married","N","Retired","1Low","Owner","South","A"
"N","F","1. HS",0,"4_<=45","N","F","Married","U","Others","1Low","Owner","South","F"
"N","F","0. <HS",0,"1_Unk","N","G","Single","Y","Retired","1Low","Renter","South","B"
"N","M","3. Bach",342129,"3_<=35","Y","E","","Y","Blue Collar","1Low","Owner","Northeast","D"
"N","M","2. Some College",386280,"4_<=45","N","C","Married","Y","Blue Collar","1Low","Owner","Midwest","G"
"N","M","4. Grad",238928,"7_>65","Y","B","Married","N","Retired","1Low","Owner","Midwest","G"
"Y","F","0. <HS",568980,"4_<=45","Y","B","Married","U","Professional","3High","Owner","Midwest","I"
"N","F","3. Bach",215820,"4_<=45","Y","B","Married","Y","Blue Collar","1Low","Owner","South","F"
"Y","F","3. Bach",496386,"3_<=35","Y","B","Single","U","Sales/Service","1Low","Owner","South","E"
"Y","M","2. Some College",95462,"5_<=55","N","F","","N","Professional","1Low","Owner","Midwest","C"
"Y","M","3. Bach",417644,"6_<=65","Y","B","Married","N","Sales/Service","2Med","Owner","Northeast","K"
"N","M","2. Some College",283015,"4_<=45","N","E","Married","U","Blue Collar","1Low","","South","G"
"Y","F","2. Some College",155325,"1_Unk","Y","F","Married","Y","Sales/Service","1Low","","Midwest","D"
"N","M","1. HS",83930,"5_<=55","N","I","Married","N","Others","1Low","Owner","Midwest","E"
"N","M","1. HS",414799,"5_<=55","N","E","Single","N","Blue Collar","1Low","Owner","Midwest","B"
"Y","M","3. Bach",252880,"4_<=45","Y","G","Single","U","Blue Collar","1Low","Renter","West","H"
"N","M","1. HS",0,"7_>65","N","D","Married","N","Retired","1Low","Owner","Northeast","H"
"Y","M","1. HS",0,"1_Unk","N","G","Single","N","Sales/Service","1Low","Renter","Midwest","C"
"Y","F","0. <HS",221815,"5_<=55","Y","E","Married","Y","Professional","2Med","Owner","South","F"
"Y","F","3. Bach",275900,"5_<=55","Y","C","Married","Y","Professional","1Low","Owner","West","E"
"N","F","1. HS",113220,"7_>65","Y","B","","N","Retired","1Low","Owner","South","G"
"N","F","1. HS",113932,"3_<=35","Y","E","","N","Sales/Service","1Low","Owner","Midwest","D"
"Y","F","4. Grad",117022,"6_<=65","Y","E","Married","U","Retired","1Low","Owner","South","E"
"N","U","4. Grad",177125,"1_Unk","N","F","","U","Sales/Service","2Med","Owner","West","G"
"N","F","4. Grad",0,"3_<=35","N","F","Married","Y","Others","1Low","Owner","Midwest","E"
"Y","F","3. Bach",299303,"2_<=25","Y","C","","Y","Professional","3High","Owner","South","G"
"Y","M","0. <HS",1064548,"3_<=35","N","B","Married","N","Sales/Service","3High","Owner","West","L"
"N","F","2. Some College",599500,"2_<=25","Y","B","","N","Blue Collar","3High","Owner","West","F"
"N","M","0. <HS",174356,"6_<=65","N","E","","N","Others","1Low","Owner","South","D"
"N","M","4. Grad",150318,"3_<=35","Y","E","Married","U","Others","1Low","Renter","West","E"
"N","F","1. HS",0,"5_<=55","N","D","","N","Others","1Low","","West","D"
"Y","M","1. HS",197072,"6_<=65","Y","F","","Y","Sales/Service","2Med","Owner","West","F"
"N","F","2. Some College",159706,"5_<=55","Y","D","","N","Professional","1Low","Owner","South","B"
"N","F","1. HS",321942,"5_<=55","Y","F","","Y","Sales/Service","1Low","Renter","Northeast","D"
